id,name,category,price,seasonal,available,created_at
1,Appam,Breakfast,18,false,true,2026-09-10 07:48:44.409141+00
2,Idiappam,Breakfast,18,false,true,2026-09-10 07:48:44.409141+00
3,Puttu,Breakfast,60,false,true,2026-09-10 07:48:44.409141+00
4,Chappathi,Breakfast,18,false,true,2026-09-10 07:48:44.409141+00
5,Porotta,Breakfast,20,false,true,2026-09-10 07:48:44.409141+00
6,Wheat Porotta,Breakfast,25,false,true,2026-09-10 07:48:44.409141+00
7,Nool Porotta,Breakfast,35,false,true,2026-09-10 07:48:44.409141+00
8,Poori Baji,Breakfast,80,false,true,2026-09-10 07:48:44.409141+00
9,Neer Dosa,Breakfast,18,false,true,2026-09-10 07:48:44.409141+00
10,Set Dosa,Breakfast,70,false,true,2026-09-10 07:48:44.409141+00
11,Plain Dosa,Breakfast,60,false,true,2026-09-10 07:48:44.409141+00
12,Masala Dosa,Breakfast,80,false,true,2026-09-10 07:48:44.409141+00
13,Ghee Roast,Breakfast,90,false,true,2026-09-10 07:48:44.409141+00
14,Onion Dosa,Breakfast,90,false,true,2026-09-10 07:48:44.409141+00
15,Egg Dosa,Breakfast,90,false,true,2026-09-10 07:48:44.409141+00
16,Kadala Curry,Breakfast,70,false,true,2026-09-10 07:48:44.409141+00
17,Greenpeas Curry,Breakfast,80,false,true,2026-09-10 07:48:44.409141+00
18,Cherupayar Curry,Breakfast,70,false,true,2026-09-10 07:48:44.409141+00
19,Egg Curry,Breakfast,70,false,true,2026-09-10 07:48:44.409141+00
20,Egg Roast,Breakfast,90,false,true,2026-09-10 07:48:44.409141+00
21,Aloobaji,Breakfast,70,false,true,2026-09-10 07:48:44.409141+00
22,Veg Kuruma,Breakfast,90,false,true,2026-09-10 07:48:44.409141+00
23,Kerala Meals,Rice & Biriyani,100,false,true,2026-09-10 07:48:44.409141+00
24,Fish Curry Meals,Rice & Biriyani,180,false,true,2026-09-10 07:48:44.409141+00
25,Chicken Curry Meals,Rice & Biriyani,170,false,true,2026-09-10 07:48:44.409141+00
26,Pothichoru Veg,Rice & Biriyani,120,false,true,2026-09-10 07:48:44.409141+00
27,Pothichoru Egg,Rice & Biriyani,150,false,true,2026-09-10 07:48:44.409141+00
28,Pothichoru Fish,Rice & Biriyani,200,false,true,2026-09-10 07:48:44.409141+00
29,Pothichoru Chicken,Rice & Biriyani,190,false,true,2026-09-10 07:48:44.409141+00
30,Pothichoru Pothu,Rice & Biriyani,220,false,true,2026-09-10 07:48:44.409141+00
